Names,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company
Gillespie Rivas,41,1445.6733,1,2.1938,8,03.25.2015 22:38:13,1318 Tompkins Place, Yettem,Amtap
Mercer Fernandez,23,15809.5294,0,0.5882,11,11.23.2020 15:34:01,6394 Stuart Street, Welch,Handshake
Sutton Bowers,33,19556.7926,1,0.3532,6,11.12.2006 18:08:37,7559 Kenmore Court, Nanafalia,Orboid
Trisha Washington,27,11864.8603,0,3.1911,6,11.16.2019 03:19:15,3750 Lee Avenue, Waterford,Steeltab
Dickson Wong,34,2504.1025,1,7.5405,12,12.24.2021 23:31:05,9509 Horace Court, Zortman,Neptide
Terry Delgado,60,4388.3181,1,7.0926,7,11.06.2009 13:45:14,2483 Cypress Avenue, Madrid,Quintity
Ada Howell,22,3006.8334,0,1.6964,10,03.24.2005 10:46:22,4920 Legion Street, Shepardsville,Artworlds
Hebert Olson,44,5120.6207,0,3.8945,6,02.22.2014 22:50:24,7266 Noble Street, Wright,Junipoor
Dale Booker,27,8353.6144,1,1.2148,9,10.01.2005 08:34:03,8813 Beadel Street, Rushford,Hatology
Alfreda Foley,50,13435.6634,1,6.9986,5,09.01.2008 04:06:54,2123 Conway Street, Bluffview,Motovate
Miles Walter,37,10526.4329,1,0.3355,6,09.11.2010 23:28:44,9961 Clermont Avenue, Blende,Netplax
Page Cain,37,10270.0977,0,0.0132,5,12.03.2015 03:14:30,309 Branton Street, Cumberland,Combot
Justice Barton,33,7015.4009,0,5.7755,10,06.07.2006 23:51:29,7353 Newport Street, Dixie,Suretech
Stafford Sampson,49,12204.1494,1,6.5836,8,08.14.2019 08:11:28,4445 Lenox Road, Saticoy,Assitia
Chavez Simon,31,17781.5264,0,7.549,7,02.24.2007 09:19:23,6130 Thatford Avenue, Rivereno,Skybold
Walter Johnston,33,13668.4827,1,4.7525,7,08.30.2018 17:03:16,100 Hull Street, Cecilia,Miracula
Raymond Carrillo,34,1667.8069,1,3.0836,7,08.16.2019 02:39:38,83 Irving Place, Why,Quantasis
Elliott Nguyen,52,7737.6444,1,5.2348,6,02.12.2010 16:38:25,6113 Seabring Street, Nutrioso,Songbird
Mcclure Richmond,59,10632.7497,1,7.8916,7,02.01.2018 08:32:16,2973 Remsen Street, Canoochee,Viagrand
Hensley Gallegos,60,14265.2335,0,5.8559,5,08.14.2005 11:16:08,907 Micieli Place, Shaft,Quailcom
Cecilia Perkins,22,17089.6317,1,5.013,7,06.03.2018 10:58:47,1502 Lewis Place, Sims,Nikuda
Gentry Rowe,26,2791.3106,1,3.863,7,06.06.2009 22:48:51,8199 Doughty Street, Sunwest,Asimiline
Hazel Foster,47,11054.0007,1,4.6045,5,07.25.2019 04:18:29,7709 Arlington Avenue, Adamstown,Netagy
Carissa Suarez,49,7130.0604,1,0.8805,12,02.28.2017 13:00:51,9565 Devoe Street, Jacumba,Empirica
Griffin Kinney,26,12008.065,0,3.2563,12,07.18.2009 19:59:32,5842 Clinton Street, Fredericktown,Spherix
Christi Mathews,36,2106.8855,1,6.7649,11,10.04.2015 13:53:35,2621 Meserole Avenue, Orviston,Voipa
Slater Clemons,31,6598.4389,0,0.6446,7,02.24.2019 09:04:07,5824 Coffey Street, Derwood,Securia
Ellison Berger,24,6658.921,0,1.007,5,07.17.2010 09:49:07,1266 Hazel Court, Nescatunga,Endicil
Blair Gilmore,29,9154.2346,1,6.2771,11,01.10.2018 09:09:53,1106 Veterans Avenue, Onton,Cosmetex
Pate Holcomb,59,15063.8589,0,7.7238,6,03.28.2020 17:34:04,2349 Auburn Place, Fontanelle,Squish
Swanson Joseph,36,18574.4768,1,5.917,8,07.22.2014 20:03:47,8746 Dewitt Avenue, Grandview,Nitracyr
Day Stone,46,19950.2873,1,6.1004,7,01.09.2020 04:29:41,2143 Hunterfly Place, Tetherow,Pheast
Collier Higgins,56,1828.6944,1,0.9618,7,05.15.2015 14:13:56,3856 Calder Place, Sunnyside,Apexia
Graciela Ruiz,49,13970.7266,0,4.2973,10,05.25.2014 22:32:08,792 Juliana Place, Edgar,Obones
Rollins Bolton,35,3648.8446,1,4.848,10,10.11.2008 15:37:50,312 Barbey Street, Thatcher,Comtrak
Maynard Mckee,50,9633.0534,1,2.3488,5,08.06.2012 07:00:32,6114 Delevan Street, Balm,Comtrail
Pace Simpson,41,7601.5407,1,2.6915,8,02.29.2016 01:35:30,8810 Surf Avenue, Efland,Kidstock
Stacey Dotson,22,13207.55,0,3.285,5,03.03.2008 01:50:40,6465 Ocean Avenue, Talpa,Orbean
Britney Valenzuela,55,18015.5998,1,3.9025,9,07.08.2006 19:38:33,2853 Jackson Court, Rew,Isodrive
Willis Gilliam,29,11079.003,0,2.9639,9,12.23.2016 06:28:47,1251 Underhill Avenue, Brenton,Vortexaco
Cash Vinson,60,6327.615,1,2.3445,6,06.21.2011 14:14:42,9910 Bragg Street, Camptown,Plasmos
Ina Fowler,47,14561.2733,0,5.6928,11,11.05.2020 12:43:47,2872 Sutton Street, Interlochen,Viagreat
Shannon Davenport,50,4717.5443,0,2.0786,10,03.15.2016 07:52:21,3979 John Street, Lithium,Ovium
Juanita Woodward,26,15849.4138,1,5.1848,11,09.07.2019 10:06:24,9712 Java Street, Hegins,Marvane
Allen Turner,56,18907.0106,0,3.4468,7,08.12.2013 06:32:21,2343 Hampton Place, Cowiche,Bicol
Clarice Watkins,46,6573.3949,0,4.9097,5,02.15.2010 14:54:26,967 Creamer Street, Woodlake,Xylar
Mindy Palmer,22,3189.827,0,0.4264,8,04.07.2009 00:26:15,2437 Lyme Avenue, Brownsville,Blanet
Briggs Gilbert,41,18074.6761,0,2.136,7,02.01.2021 02:01:42,2804 Batchelder Street, Brandywine,Lyrichord
